index,score
55,-0.2423
142,-0.2402
696,-0.2241
2388,-0.2208
326,-0.2202
12,-0.2201
1817,-0.2195
2091,-0.2162
2382,-0.2141
108,-0.2120
2425,-0.1989
2396,-0.1971
2000,-0.1908
1781,-0.1883
2427,-0.1868
2338,-0.1817
1384,-0.1808
2067,-0.1800
2118,-0.1741
360,-0.1724
2234,-0.1722
1773,-0.1633
1973,-0.1627
897,-0.1594
1136,-0.1563
