index,score
55,-0.2386
142,-0.2308
2091,-0.2201
696,-0.2190
326,-0.2169
12,-0.2148
1817,-0.2122
2396,-0.2057
2388,-0.2054
2382,-0.2046
2338,-0.1962
360,-0.1904
1384,-0.1899
1773,-0.1885
897,-0.1882
108,-0.1868
1973,-0.1863
2425,-0.1862
2000,-0.1757
2163,-0.1756
2126,-0.1748
2427,-0.1737
1136,-0.1652
1781,-0.1639
1133,-0.1600
